"GRD_FIXID","GRD_FLOAID","GRD_NEWID","SHAPE_Leng","SHAPE_Area","TOT_P","TOT_F","TOT_M"
"4.0.37990000.31320000","3799.3132.4","1kmN3132E3799","144,265220928","427,531529332",0,0,0
"4.0.37990000.31330000","3799.3133.4","1kmN3133E3799","2396,83820139","150030,640396",0,0,0
"4.0.37990000.31340000","3799.3134.4","1kmN3134E3799","3085,19286362","510565,5",0,0,0
"4.0.37990000.31350000","3799.3135.4","1kmN3135E3799","2958,10252501","541620,928313",0,0,0
"4.0.38000000.31070000","3800.3107.4","1kmN3107E3800","1729,47232354","146887,017646",0,0,0
"4.0.38000000.31080000","3800.3108.4","1kmN3108E3800","3235,90140122","676484,977787",7,3,4
"4.0.38000000.31090000","3800.3109.4","1kmN3109E3800","2212,24745128","211758,892614",0,0,0
"4.0.38000000.31150000","3800.3115.4","1kmN3115E3800","2549,66462042","336516,570249",0,0,0
"4.0.38000000.31160000","3800.3116.4","1kmN3116E3800","2181,76559937","278967,169832",0,0,0
"4.0.38000000.31240000","3800.3124.4","1kmN3124E3800","1742,26773385","138433,531072",0,0,0
"4.0.38000000.31250000","3800.3125.4","1kmN3125E3800","3374,86786939","672050,023884",0,0,0
"4.0.38000000.31260000","3800.3126.4","1kmN3126E3800","3464,61930501","781264,781534",0,0,0
"4.0.38000000.31270000","3800.3127.4","1kmN3127E3800","3267,32310667","549836,848449",0,0,0
"4.0.38000000.31280000","3800.3128.4","1kmN3128E3800","3272,35774102","634080,3",0,0,0
"4.0.38000000.31290000","3800.3129.4","1kmN3129E3800","3455,79054102","725796,7",2,0,2
"4.0.38000000.31300000","3800.3130.4","1kmN3130E3800","3642,9682088","818697,554825",0,0,0
"4.0.38000000.31310000","3800.3131.4","1kmN3131E3800","3771,19404724","907312,641376",27,13,14
"4.0.38000000.31320000","3800.3132.4","1kmN3132E3800","3932,82450933","897770,889158",3,2,1
"4.0.38000000.31330000","3800.3133.4","1kmN3133E3800",4000,1000000,25,13,12
"4.0.38000000.31340000","3800.3134.4","1kmN3134E3800",4000,1000000,0,0,0
"4.0.38000000.31350000","3800.3135.4","1kmN3135E3800","3934,26922885","991459,497582",0,0,0
"4.0.38000000.31360000","3800.3136.4","1kmN3136E3800","1978,43183136","133863,187852",0,0,0
"4.0.38010000.31060000","3801.3106.4","1kmN3106E3801","1965,11908358","218033,582137",0,0,0
"4.0.38010000.31070000","3801.3107.4","1kmN3107E3801","4078,79386317","730377,487469",0,0,0
"4.0.38010000.31080000","3801.3108.4","1kmN3108E3801",4000,1000000,12,4,8
"4.0.38010000.31090000","3801.3109.4","1kmN3109E3801","3833,12445455","942753,767942",12,6,6
"4.0.38010000.31100000","3801.3110.4","1kmN3110E3801","3685,20740395","778752,566419",2,1,1
"4.0.38010000.31110000","3801.3111.4","1kmN3111E3801","3805,26717434","820286,153234",13,6,7
"4.0.38010000.31120000","3801.3112.4","1kmN3112E3801","3605,93213597","844167,409644",11,5,6
"4.0.38010000.31130000","3801.3113.4","1kmN3113E3801","3512,91034026","626726,16736",0,0,0
"4.0.38010000.31140000","3801.3114.4","1kmN3114E3801","3239,97839097","660397,940101",4,2,2
"4.0.38010000.31150000","3801.3115.4","1kmN3115E3801","3998,17666632","960224,964538",10,5,5
"4.0.38010000.31160000","3801.3116.4","1kmN3116E3801","3833,72551198","948620,918224",33,15,18
"4.0.38010000.31170000","3801.3117.4","1kmN3117E3801","2294,90562178","228476,999705",0,0,0
"4.0.38010000.31230000","3801.3123.4","1kmN3123E3801","1323,0754564","79073,4399456",0,0,0
"4.0.38010000.31240000","3801.3124.4","1kmN3124E3801","3708,66001762","879101,533315",6,3,3
"4.0.38010000.31250000","3801.3125.4","1kmN3125E3801",4000,1000000,7,4,3
"4.0.38010000.31260000","3801.3126.4","1kmN3126E3801",4000,1000000,39,20,19
"4.0.38010000.31270000","3801.3127.4","1kmN3127E3801",4000,1000000,22,11,11
"4.0.38010000.31280000","3801.3128.4","1kmN3128E3801",4000,1000000,8,3,5
"4.0.38010000.31290000","3801.3129.4","1kmN3129E3801",4000,1000000,19,11,8
"4.0.38010000.31300000","3801.3130.4","1kmN3130E3801",4000,1000000,2,1,1
"4.0.38010000.31310000","3801.3131.4","1kmN3131E3801",4000,1000000,10,3,7
"4.0.38010000.31320000","3801.3132.4","1kmN3132E3801",4000,1000000,19,9,10
